ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60620,11,03/14/2021,03/20/2021,45,4704,66,6907.9,1731,66858,2542,98182,0.0,0.1,1,135,1.5,198.2,68096,60620-2021-11,POINT (-87.651656 41.740873)
60620,16,04/18/2021,04/24/2021,123,5275,181,7746.4,2763,77944,4058,114461.9,0.0,0.1,1,143,1.5,210.0,68096,60620-2021-16,POINT (-87.651656 41.740873)
60620,17,04/25/2021,05/01/2021,131,5406,192,7938.8,2192,80136,3219,117680.9,0.1,0.1,2,145,2.9,212.9,68096,60620-2021-17,POINT (-87.651656 41.740873)
60620,18,05/02/2021,05/08/2021,99,5505,145,8084.2,2105,82241,3091,120772.1,0.1,0.1,5,150,7.3,220.3,68096,60620-2021-18,POINT (-87.651656 41.740873)
60620,19,05/09/2021,05/15/2021,98,5603,144,8228.1,2136,84377,3137,123908.9,0.1,0.1,4,154,5.9,226.2,68096,60620-2021-19,POINT (-87.651656 41.740873)
60620,21,05/23/2021,05/29/2021,37,5701,54,8372,1772,88346,2602,129737.4,0.0,0.1,2,158,2.9,232.0,68096,60620-2021-21,POINT (-87.651656 41.740873)
60620,6,02/07/2021,02/13/2021,43,4520,63,6637.7,1730,58242,2540,85529.3,0.0,0.1,2,132,2.9,193.8,68096,60620-2021-6,POINT (-87.651656 41.740873)
60620,7,02/14/2021,02/20/2021,43,4563,63,6700.8,1542,59784,2264,87793.7,0.0,0.1,1,133,1.5,195.3,68096,60620-2021-7,POINT (-87.651656 41.740873)
60620,8,02/21/2021,02/27/2021,37,4600,54,6755.2,1844,61628,2708,90501.6,0.0,0.1,0,133,0.0,195.3,68096,60620-2021-8,POINT (-87.651656 41.740873)
60620,9,02/28/2021,03/06/2021,34,4634,50,6805.1,1742,63370,2558,93059.8,0.0,0.1,0,133,0.0,195.3,68096,60620-2021-9,POINT (-87.651656 41.740873)
60621,36,08/30/2020,09/05/2020,16,739,55,2544.6,388,8474,1336,29178.4,0.0,0.1,1,52,3.4,179.1,29042,60621-2020-36,POINT (-87.638812 41.776931)
60608,28,07/05/2020,07/11/2020,47,1932,59,2439.2,1185,11900,1496,15024.3,0.0,0.2,0,72,0.0,90.9,79205,60608-2020-28,POINT (-87.670366 41.849879)
60608,49,11/29/2020,12/05/2020,411,5647,519,7129.6,3050,58051,3851,73292.1,0.2,0.1,10,104,12.6,131.3,79205,60608-2020-49,POINT (-87.670366 41.849879)
60608,50,12/06/2020,12/12/2020,331,5978,418,7547.5,2858,60909,3608,76900.4,0.1,0.1,5,109,6.3,137.6,79205,60608-2020-50,POINT (-87.670366 41.849879)
